timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1739703641064,529,사용자 등록,201,,도서 및 대출 관련 API 1-1,text,true,,546,280,1,1,http://localhost:8080/api/users,528,0,1
1739703641594,91,로그인,201,,도서 및 대출 관련 API 1-1,text,true,,739,286,1,1,http://localhost:8080/api/users/token,91,0,0
1739703641686,22,사용자 목록 조회,200,,도서 및 대출 관련 API 1-1,text,true,,548,319,1,1,http://localhost:8080/api/users,22,0,0
1739703641708,22,도서 목록 조회,200,,도서 및 대출 관련 API 1-1,text,true,,433,319,1,1,http://localhost:8080/api/books,22,0,0
1739703641731,22,도서 등록,201,,도서 및 대출 관련 API 1-1,text,true,,522,429,1,1,http://localhost:8080/api/books,22,0,0
1739703641753,16,도서 목록 조회,200,,도서 및 대출 관련 API 1-1,text,true,,524,319,1,1,http://localhost:8080/api/books,16,0,0
1739703641769,21,태그 필터링,200,,도서 및 대출 관련 API 1-1,text,true,,433,346,1,1,http://localhost:8080/api/books/tag?tag=소설,21,0,0
1739703641790,31,태그 추가,201,,도서 및 대출 관련 API 1-1,text,true,,530,368,1,1,http://localhost:8080/api/books/1/tag?tag=소설,31,0,0
1739703641821,13,태그 필터링,200,,도서 및 대출 관련 API 1-1,text,true,,532,346,1,1,http://localhost:8080/api/books/tag?tag=소설,13,0,0
1739703641834,13,대출 상태 조회,200,,도서 및 대출 관련 API 1-1,text,true,,454,321,1,1,http://localhost:8080/api/loans/1,13,0,0
1739703641848,20,대출 등록,201,,도서 및 대출 관련 API 1-1,text,true,,543,377,1,1,http://localhost:8080/api/loans,20,0,0
1739703641869,10,대출 상태 조회,200,,도서 및 대출 관련 API 1-1,text,true,,451,321,1,1,http://localhost:8080/api/loans/1,10,0,0
1739703641880,20,도서 반납,200,,도서 및 대출 관련 API 1-1,text,true,,443,342,1,1,http://localhost:8080/api/loans/1,20,0,0
1739703641900,9,대출 상태 조회,200,,도서 및 대출 관련 API 1-1,text,true,,454,321,1,1,http://localhost:8080/api/loans/1,9,0,0
1739703641910,16,도서 수정,200,,도서 및 대출 관련 API 1-1,text,true,,535,377,1,1,http://localhost:8080/api/books/1,16,0,0
1739703641926,8,특정 도서 조회,200,,도서 및 대출 관련 API 1-1,text,true,,535,321,1,1,http://localhost:8080/api/books/1,8,0,0
1739703641935,23,도서 삭제,204,,도서 및 대출 관련 API 1-1,,true,,361,343,1,1,http://localhost:8080/api/books/1,0,0,0
1739703641958,6,특정 도서 조회 (캐시 무효화 검증 404 반환),404,,도서 및 대출 관련 API 1-1,text,false,,457,321,1,1,http://localhost:8080/api/books/1,6,0,0
1739703641965,7,태그 필터링,200,,도서 및 대출 관련 API 1-1,text,true,,433,346,1,1,http://localhost:8080/api/books/tag?tag=소설,7,0,0
1739703641973,14,토큰 재발급,200,,도서 및 대출 관련 API 1-1,text,true,,739,495,1,1,http://localhost:8080/api/users/token/refresh,14,0,0
1739703641987,12,로그아웃,204,,도서 및 대출 관련 API 1-1,,true,,361,347,1,1,http://localhost:8080/api/users/token,0,0,0
1739703642000,8,토큰 재발급  (캐시 무효화 검증 404 반환),404,,도서 및 대출 관련 API 1-1,text,false,,471,495,1,1,http://localhost:8080/api/users/token/refresh,8,0,0
1739703642008,71,사용자 등록,201,,도서 및 대출 관련 API 1-1,text,true,,546,403,1,1,http://localhost:8080/api/users,70,0,0
1739703642079,69,로그인,201,,도서 및 대출 관련 API 1-1,text,true,,739,409,1,1,http://localhost:8080/api/users/token,68,0,0
1739703642148,8,사용자 목록 조회,200,,도서 및 대출 관련 API 1-1,text,true,,663,319,1,1,http://localhost:8080/api/users,7,0,0
1739703642156,15,도서 목록 조회,200,,도서 및 대출 관련 API 1-1,text,true,,433,319,1,1,http://localhost:8080/api/books,15,0,0
1739703642171,23,도서 등록,201,,도서 및 대출 관련 API 1-1,text,true,,522,429,1,1,http://localhost:8080/api/books,22,0,0
1739703642194,8,도서 목록 조회,200,,도서 및 대출 관련 API 1-1,text,true,,524,319,1,1,http://localhost:8080/api/books,8,0,0
1739703642202,6,태그 필터링,200,,도서 및 대출 관련 API 1-1,text,true,,433,346,1,1,http://localhost:8080/api/books/tag?tag=소설,6,0,0
1739703642208,19,태그 추가,201,,도서 및 대출 관련 API 1-1,text,true,,530,368,1,1,http://localhost:8080/api/books/2/tag?tag=소설,18,0,0
1739703642227,9,태그 필터링,200,,도서 및 대출 관련 API 1-1,text,true,,532,346,1,1,http://localhost:8080/api/books/tag?tag=소설,9,0,0
1739703642236,8,대출 상태 조회,200,,도서 및 대출 관련 API 1-1,text,true,,454,321,1,1,http://localhost:8080/api/loans/2,8,0,0
1739703642244,15,대출 등록,201,,도서 및 대출 관련 API 1-1,text,true,,543,377,1,1,http://localhost:8080/api/loans,15,0,0
1739703642259,9,대출 상태 조회,200,,도서 및 대출 관련 API 1-1,text,true,,451,321,1,1,http://localhost:8080/api/loans/2,9,0,0
1739703642268,13,도서 반납,200,,도서 및 대출 관련 API 1-1,text,true,,443,342,1,1,http://localhost:8080/api/loans/2,13,0,0
1739703642282,7,대출 상태 조회,200,,도서 및 대출 관련 API 1-1,text,true,,454,321,1,1,http://localhost:8080/api/loans/2,7,0,0
1739703642289,15,도서 수정,200,,도서 및 대출 관련 API 1-1,text,true,,535,377,1,1,http://localhost:8080/api/books/2,15,0,0
1739703642304,8,특정 도서 조회,200,,도서 및 대출 관련 API 1-1,text,true,,535,321,1,1,http://localhost:8080/api/books/2,8,0,0
1739703642312,16,도서 삭제,204,,도서 및 대출 관련 API 1-1,,true,,361,343,1,1,http://localhost:8080/api/books/2,0,0,0
1739703642328,6,특정 도서 조회 (캐시 무효화 검증 404 반환),404,,도서 및 대출 관련 API 1-1,text,false,,457,321,1,1,http://localhost:8080/api/books/2,6,0,0
1739703642335,7,태그 필터링,200,,도서 및 대출 관련 API 1-1,text,true,,433,346,1,1,http://localhost:8080/api/books/tag?tag=소설,7,0,0
1739703642342,9,토큰 재발급,200,,도서 및 대출 관련 API 1-1,text,true,,739,495,1,1,http://localhost:8080/api/users/token/refresh,9,0,0
1739703642351,10,로그아웃,204,,도서 및 대출 관련 API 1-1,,true,,361,347,1,1,http://localhost:8080/api/users/token,0,0,0
1739703642361,7,토큰 재발급  (캐시 무효화 검증 404 반환),404,,도서 및 대출 관련 API 1-1,text,false,,471,495,1,1,http://localhost:8080/api/users/token/refresh,7,0,0
1739703642368,66,사용자 등록,201,,도서 및 대출 관련 API 1-1,text,true,,546,403,1,1,http://localhost:8080/api/users,66,0,0
1739703642434,67,로그인,201,,도서 및 대출 관련 API 1-1,text,true,,739,409,1,1,http://localhost:8080/api/users/token,67,0,0
1739703642501,7,사용자 목록 조회,200,,도서 및 대출 관련 API 1-1,text,true,,779,319,1,1,http://localhost:8080/api/users,6,0,0
1739703642508,6,도서 목록 조회,200,,도서 및 대출 관련 API 1-1,text,true,,433,319,1,1,http://localhost:8080/api/books,6,0,0
1739703642514,12,도서 등록,201,,도서 및 대출 관련 API 1-1,text,true,,522,429,1,1,http://localhost:8080/api/books,12,0,0
1739703642526,8,도서 목록 조회,200,,도서 및 대출 관련 API 1-1,text,true,,524,319,1,1,http://localhost:8080/api/books,7,0,0
1739703642534,4,태그 필터링,200,,도서 및 대출 관련 API 1-1,text,true,,433,346,1,1,http://localhost:8080/api/books/tag?tag=소설,4,0,0
1739703642538,18,태그 추가,201,,도서 및 대출 관련 API 1-1,text,true,,530,368,1,1,http://localhost:8080/api/books/3/tag?tag=소설,18,0,0
1739703642556,8,태그 필터링,200,,도서 및 대출 관련 API 1-1,text,true,,532,346,1,1,http://localhost:8080/api/books/tag?tag=소설,8,0,0
1739703642564,7,대출 상태 조회,200,,도서 및 대출 관련 API 1-1,text,true,,454,321,1,1,http://localhost:8080/api/loans/3,7,0,0
1739703642571,14,대출 등록,201,,도서 및 대출 관련 API 1-1,text,true,,543,377,1,1,http://localhost:8080/api/loans,13,0,0
1739703642585,8,대출 상태 조회,200,,도서 및 대출 관련 API 1-1,text,true,,451,321,1,1,http://localhost:8080/api/loans/3,8,0,0
1739703642593,13,도서 반납,200,,도서 및 대출 관련 API 1-1,text,true,,443,342,1,1,http://localhost:8080/api/loans/3,13,0,0
1739703642606,8,대출 상태 조회,200,,도서 및 대출 관련 API 1-1,text,true,,454,321,1,1,http://localhost:8080/api/loans/3,8,0,0
