timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1739710930427,14,도서 목록 조회,200,,캐싱 이전이후 검증 5-1,text,true,,1542,158,1,1,http://localhost:8080/api/books,14,0,0
1739710930441,2,특정 도서 조회 (랜덤 도서),200,,캐싱 이전이후 검증 5-1,text,true,,545,163,1,1,http://localhost:8080/api/books/1896,2,0,0
1739710930443,4,제목으로 도서 검색 (랜덤 제목),200,,캐싱 이전이후 검증 5-1,text,true,,433,218,1,1,http://localhost:8080/api/books/title/테스트%20도서_1846,4,0,0
1739710930447,9,저자명으로 도서 검색 (랜덤 저자명),200,,캐싱 이전이후 검증 5-1,text,true,,27675,216,1,1,http://localhost:8080/api/books/author/테스트%20저자_4,9,0,0
1739710930456,10,도서 태그 필터링 (랜덤 태그),200,,캐싱 이전이후 검증 5-1,text,true,,700,217,1,1,http://localhost:8080/api/books/tag?tag=테스트%20태그_5,10,0,0
1739710930466,3,사용자 목록 조회,200,,캐싱 이전이후 검증 5-1,text,true,,12126,158,1,1,http://localhost:8080/api/users,3,0,0
1739710930469,2,특정 사용자 조회 (랜덤 사용자),200,,캐싱 이전이후 검증 5-1,text,true,,548,161,1,1,http://localhost:8080/api/users/89,2,0,0
1739710930471,2,대출 여부 조회 (랜덤 도서),200,,캐싱 이전이후 검증 5-1,text,true,,451,162,1,1,http://localhost:8080/api/loans/294,2,0,0
1739710930480,6,도서 목록 조회,200,,캐싱 이전이후 검증 5-2,text,true,,1542,158,1,1,http://localhost:8080/api/books,6,0,0
1739710930486,1,특정 도서 조회 (랜덤 도서),200,,캐싱 이전이후 검증 5-2,text,true,,545,163,1,1,http://localhost:8080/api/books/1518,1,0,0
1739710930487,3,제목으로 도서 검색 (랜덤 제목),200,,캐싱 이전이후 검증 5-2,text,true,,433,218,1,1,http://localhost:8080/api/books/title/테스트%20도서_1860,2,0,0
1739710930490,3,저자명으로 도서 검색 (랜덤 저자명),200,,캐싱 이전이후 검증 5-2,text,true,,2762,217,1,1,http://localhost:8080/api/books/author/테스트%20저자_97,3,0,0
1739710930493,3,도서 태그 필터링 (랜덤 태그),200,,캐싱 이전이후 검증 5-2,text,true,,967,217,1,1,http://localhost:8080/api/books/tag?tag=테스트%20태그_2,3,0,0
1739710930496,1,사용자 목록 조회,200,,캐싱 이전이후 검증 5-2,text,true,,12126,158,1,1,http://localhost:8080/api/users,1,0,0
1739710930497,2,특정 사용자 조회 (랜덤 사용자),200,,캐싱 이전이후 검증 5-2,text,true,,548,161,1,1,http://localhost:8080/api/users/94,2,0,0
1739710930499,1,대출 여부 조회 (랜덤 도서),200,,캐싱 이전이후 검증 5-2,text,true,,454,163,1,1,http://localhost:8080/api/loans/1164,1,0,0
1739710930528,4,도서 목록 조회,200,,캐싱 이전이후 검증 5-3,text,true,,1542,158,1,1,http://localhost:8080/api/books,4,0,0
1739710930533,1,특정 도서 조회 (랜덤 도서),200,,캐싱 이전이후 검증 5-3,text,true,,544,162,1,1,http://localhost:8080/api/books/498,1,0,0
1739710930534,2,제목으로 도서 검색 (랜덤 제목),200,,캐싱 이전이후 검증 5-3,text,true,,433,217,1,1,http://localhost:8080/api/books/title/테스트%20도서_106,2,0,0
1739710930536,2,저자명으로 도서 검색 (랜덤 저자명),200,,캐싱 이전이후 검증 5-3,text,true,,3221,217,1,1,http://localhost:8080/api/books/author/테스트%20저자_49,2,0,0
1739710930538,3,도서 태그 필터링 (랜덤 태그),200,,캐싱 이전이후 검증 5-3,text,true,,970,217,1,1,http://localhost:8080/api/books/tag?tag=테스트%20태그_4,3,0,0
1739710930541,2,사용자 목록 조회,200,,캐싱 이전이후 검증 5-3,text,true,,12126,158,1,1,http://localhost:8080/api/users,2,0,0
1739710930543,1,특정 사용자 조회 (랜덤 사용자),200,,캐싱 이전이후 검증 5-3,text,true,,548,161,1,1,http://localhost:8080/api/users/75,1,0,0
1739710930544,2,대출 여부 조회 (랜덤 도서),200,,캐싱 이전이후 검증 5-3,text,true,,451,162,1,1,http://localhost:8080/api/loans/286,2,0,0
1739710930579,6,도서 목록 조회,200,,캐싱 이전이후 검증 5-4,text,true,,1542,158,1,1,http://localhost:8080/api/books,6,0,0
1739710930585,2,특정 도서 조회 (랜덤 도서),200,,캐싱 이전이후 검증 5-4,text,true,,545,163,1,1,http://localhost:8080/api/books/1853,2,0,0
1739710930587,2,제목으로 도서 검색 (랜덤 제목),200,,캐싱 이전이후 검증 5-4,text,true,,433,218,1,1,http://localhost:8080/api/books/title/테스트%20도서_1427,2,0,0
